State,District,Year,Wheat,,
,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,"3,04,846.00","13,30,043.00",4.36
,,2020 - 2021,"3,07,489.00","10,48,537.00",3.41
,,2021 - 2022,"2,87,400.00","10,97,293.00",3.82
,,2022 - 2023,"3,05,016.00","11,64,551.00",3.82
,16. Dhar,2016 - 2017,"2,25,000.00","7,51,000.00",3.34
,,2017 - 2018,"1,98,870.00","6,92,660.00",3.48
,,2018 - 2019,"2,33,817.00","8,09,679.00",3.46
,,2019 - 2020,"3,64,792.00","13,14,710.00",3.6
,,2020 - 2021,"3,80,980.00","20,53,482.00",5.39
,,2021 - 2022,"3,66,295.00","19,88,982.00",5.43
,,2022 - 2023,"3,74,885.00","17,73,206.00",4.73
,17. Dindori,2016 - 2017,"49,000.00","1,08,000.00",2.2
,,2017 - 2018,"44,000.00","1,06,700.00",2.43
,,2018 - 2019,"34,942.00","36,048.00",1.03
,,2019 - 2020,"52,521.00","83,036.00",1.58
,,2020 - 2021,"55,026.00","1,27,660.00",2.32
,,2021 - 2022,"59,115.00","1,52,871.00",2.59
,,2022 - 2023,"60,195.00","1,55,664.00",2.59
,18. Guna,2016 - 2017,"1,36,000.00","5,21,000.00",3.83
,,2017 - 2018,"1,12,400.00","4,16,780.00",3.71
,,2018 - 2019,"1,65,089.00","6,49,906.00",3.94
,,2019 - 2020,"2,11,207.00","8,35,957.00",3.96
,,2020 - 2021,"1,85,432.00","8,78,762.00",4.74
,,2021 - 2022,"1,89,953.00","8,52,700.00",4.49
,,2022 - 2023,"1,89,024.00","8,10,724.00",4.29
,19. Gwalior,2016 - 2017,"1,46,000.00","5,86,000.00",4.01
,,2017 - 2018,"65,000.00","2,47,260.00",3.8
,,2018 - 2019,"1,40,836.00","5,23,109.00",3.71
,,2019 - 2020,"1,51,825.00","6,55,884.00",4.32
,,2020 - 2021,"1,49,949.00","5,90,499.00",3.94
,,2021 - 2022,"1,41,866.00","5,13,271.00",3.62
,,2022 - 2023,"1,39,382.00","5,02,472.00",3.6
,20. Harda,2016 - 2017,"1,41,000.00","6,07,000.00",4.3
,,2017 - 2018,"1,18,000.00","4,69,880.00",3.98
,,2018 - 2019,"1,42,439.00","6,20,836.00",4.36
,,2019 - 2020,"1,62,065.00","5,68,686.00",3.51
,,2020 - 2021,"1,40,206.00","7,20,659.00",5.14
,,2021 - 2022,"1,00,919.00","5,37,900.00",5.33
,,2022 - 2023,"97,146.00","5,12,931.00",5.28
,21. Hoshangabad,2016 - 2017,"2,60,000.00","11,70,000.00",4.5
,,2017 - 2018,"2,31,500.00","9,97,300.00",4.31
,,2018 - 2019,"2,80,763.00","12,54,028.00",4.47
,,2019 - 2020,"3,08,308.00","14,55,214.00",4.72
,,2020 - 2021,"2,98,881.00","16,82,999.00",5.63
,,2021 - 2022,"2,75,152.00","1,54,353.00",0.56
,,2022 - 2023,"2,70,127.00","13,88,453.00",5.14
,22. Indore,2016 - 2017,"1,30,000.00","5,60,000.00",4.31
,,2017 - 2018,"1,10,400.00","4,65,120.00",4.21
,,2018 - 2019,"1,26,387.00","5,21,752.00",4.13
,,2019 - 2020,"1,87,273.00","9,64,269.00",5.15
,,2020 - 2021,"2,01,533.00","12,11,213.00",6.01
,,2021 - 2022,"2,02,063.00","10,93,161.00",5.41
,,2022 - 2023,"2,09,917.00","10,09,701.00",4.81
,23. Jabalpur,2016 - 2017,"1,31,000.00","4,89,000.00",3.73
,,2017 - 2018,"1,71,560.00","6,47,640.00",3.78
,,2018 - 2019,"1,93,246.00","7,66,680.00",3.97
,,2019 - 2020,"2,19,428.00","9,47,929.00",4.32
,,2020 - 2021,"2,18,372.00","8,35,928.00",3.83
,,2021 - 2022,"2,02,130.00","7,92,754.00",3.92
,,2022 - 2023,"1,95,672.00","7,67,426.00",3.92
,24. Jhabua,2016 - 2017,"48,000.00","1,53,000.00",3.19
,,2017 - 2018,"59,000.00","1,74,990.00",2.97
,,2018 - 2019,"53,062.00","1,44,515.00",2.72
,,2019 - 2020,"73,534.00","2,09,204.00",2.84
,,2020 - 2021,"92,146.00","2,85,745.00",3.1
,,2021 - 2022,"91,815.00","2,96,746.00",3.23
,,2022 - 2023,"87,626.00","2,83,207.00",3.23
,25. Katni,2016 - 2017,"1,06,000.00","3,38,000.00",3.19
,,2017 - 2018,"1,29,140.00","3,89,490.00",3.02
,,2018 - 2019,"1,66,312.00","5,50,809.00",3.31
,,2019 - 2020,"1,94,702.00","6,74,837.00",3.47
,,2020 - 2021,"1,95,189.00","7,07,365.00",3.62
,,2021 - 2022,"1,85,660.00","7,06,436.00",3.8
,,2022 - 2023,"1,96,089.00","7,46,119.00",3.81
,26. Khandwa,2016 - 2017,"1,34,000.00","5,30,000.00",3.96
,,2017 - 2018,"1,42,500.00","5,34,230.00",3.75
,,2018 - 2019,"1,77,418.00","5,21,915.00",2.94
,,2019 - 2020,"2,16,164.00","6,92,589.00",3.2
,,2020 - 2021,"2,07,445.00","5,26,910.00",2.54
,,2021 - 2022,"1,71,413.00","4,88,870.00",2.85
,,2022 - 2023,"1,86,223.00","5,31,108.00",2.85
,27. Khargone,2016 - 2017,"1,51,000.00","6,25,000.00",4.14
,,2017 - 2018,"1,37,600.00","5,23,430.00",3.8
,,2018 - 2019,"2,22,195.00","8,63,787.00",3.89
,,2019 - 2020,"2,81,989.00","11,57,283.00",4.1
,,2020 - 2021,"2,45,667.00","10,68,897.00",4.35
,,2021 - 2022,"1,97,281.00","8,42,193.00",4.27
,,2022 - 2023,"2,21,965.00","9,47,569.00",4.27
,28. Mandla,2016 - 2017,"49,000.00","1,62,000.00",3.31
,,2017 - 2018,"46,000.00","1,21,300.00",2.64
,,2018 - 2019,"53,435.00","1,23,324.00",2.31
,,2019 - 2020,"82,291.00","1,60,056.00",1.95
,,2020 - 2021,"75,959.00","2,46,715.00",3.25
,,2021 - 2022,"70,707.00","1,61,495.00",2.28
,,2022 - 2023,"78,957.00","1,82,391.00",2.31
,29. Mandsaur,2016 - 2017,"97,000.00","4,18,000.00",4.31
,,2017 - 2018,"86,300.00","3,66,170.00",4.24
,,2018 - 2019,"1,59,314.00","6,84,705.00",4.3
,,2019 - 2020,"2,38,130.00","13,38,767.00",5.62
,,2020 - 2021,"1,22,427.00","4,43,675.00",3.62
,,2021 - 2022,"2,14,793.00","8,11,489.00",3.78
,,2022 - 2023,"2,04,901.00","7,74,116.00",3.78
,30. Morena,2016 - 2017,"1,17,000.00","4,58,000.00",3.91
,,2017 - 2018,"97,000.00","4,13,610.00",4.26
,,2018 - 2019,"1,20,546.00","4,87,757.00",4.05
,,2019 - 2020,"1,23,768.00","4,42,842.00",3.58
,,2020 - 2021,"1,19,968.00","4,79,392.00",4
,,2021 - 2022,"86,097.00","3,65,654.00",4.25
,,2022 - 2023,"1,01,586.00","4,31,436.00",4.25
,31. Narsinghpur,2016 - 2017,"1,00,000.00","4,04,000.00",4.04
,,2017 - 2018,"92,000.00","3,20,710.00",3.49
,,2018 - 2019,"1,20,227.00","4,39,773.00",3.66
,,2019 - 2020,"1,45,047.00","7,05,509.00",4.86
,,2020 - 2021,"1,53,258.00","6,44,910.00",4.21
,,2021 - 2022,"1,47,372.00","6,23,091.00",4.23
,,2022 - 2023,"1,54,811.00","6,39,060.00",4.13
,32. Neemuch,2016 - 2017,"50,000.00","1,64,000.00",3.28
,,2017 - 2018,"39,400.00","1,54,210.00",3.91
,,2018 - 2019,"76,801.00","3,21,795.00",4.19
,,2019 - 2020,"1,03,768.00","4,92,068.00",4.74
,,2020 - 2021,"41,206.00","1,09,484.00",2.66
,,2021 - 2022,"88,702.00","3,68,557.00",4.16
,,2022 - 2023,"88,493.00","3,67,688.00",4.15
,33. Niwari,2019 - 2020,"77,809.00","2,45,332.00",3.15
,,2020 - 2021,"63,320.00","1,63,999.00",2.59
,,2021 - 2022,"69,146.00","1,95,131.00",2.82
,,2022 - 2023,"74,106.00","2,09,127.00",2.82
,34. Panna,2016 - 2017,"77,000.00","2,36,000.00",3.06
,,2017 - 2018,"77,790.00","2,10,500.00",2.71
,,2018 - 2019,"1,05,107.00","2,85,197.00",2.71
,,2019 - 2020,"1,46,314.00","3,60,957.00",2.47
,,2020 - 2021,"1,50,010.00","3,64,524.00",2.43
,,2021 - 2022,"1,37,911.00","3,88,909.00",2.82
,,2022 - 2023,"1,37,478.00","3,87,688.00",2.82
,35. Raisen,2016 - 2017,"2,36,000.00","7,71,000.00",3.27
,,2017 - 2018,"1,97,600.00","6,47,730.00",3.28
,,2018 - 2019,"2,32,380.00","7,41,781.00",3.19
,,2019 - 2020,"2,86,929.00","11,68,662.00",4.07
,,2020 - 2021,"2,79,981.00","9,68,454.00",3.46
,,2021 - 2022,"2,85,040.00","9,54,599.00",3.35
,,2022 - 2023,"2,88,918.00","9,67,586.00",3.35
,36. Rajgarh,2016 - 2017,"1,61,000.00","5,71,000.00",3.55
,,2017 - 2018,"1,52,000.00","5,29,720.00",3.49
,,2018 - 2019,"2,29,108.00","8,07,116.00",3.52
,,2019 - 2020,"3,36,555.00","9,62,884.00",2.86
,,2020 - 2021,"3,15,181.00","10,20,556.00",3.24
,,2021 - 2022,"3,35,541.00","11,32,786.00",3.38
,,2022 - 2023,"3,60,618.00","12,17,446.00",3.38
,37. Ratlam,2016 - 2017,"1,09,000.00","3,69,000.00",3.39
,,2017 - 2018,"1,10,400.00","3,95,230.00",3.58
,,2018 - 2019,"1,53,934.00","4,68,977.00",3.05
,,2019 - 2020,"2,27,752.00","8,24,462.00",3.62
,,2020 - 2021,"2,14,917.00","10,76,734.00",5.01
