Year,Season,State,District,District_Key,Yield,Previous_Year_Yield,Production,Area,Mean_Rainfall,Mean_NDVI,Peak_NDVI,Mean_EVI,Peak_EVI,Mean_Soil_Moisture,Predictors_Available,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_Rolling_Mean_2,Yield_Rolling_Mean_3,Yield_Rolling_Std_3,Previous_Yield_Change,Mean_Rainfall_Lag_1,Mean_Rainfall_Lag_2,Mean_Rainfall_Rolling_Mean_2,Mean_Rainfall_Anomaly_vs_Prior_Mean,Mean_Rainfall_Change_From_Lag_1,Mean_NDVI_Lag_1,Mean_NDVI_Lag_2,Mean_NDVI_Rolling_Mean_2,Mean_NDVI_Anomaly_vs_Prior_Mean,Mean_NDVI_Change_From_Lag_1,Peak_NDVI_Lag_1,Peak_NDVI_Lag_2,Peak_NDVI_Rolling_Mean_2,Peak_NDVI_Anomaly_vs_Prior_Mean,Peak_NDVI_Change_From_Lag_1,Mean_EVI_Lag_1,Mean_EVI_Lag_2,Mean_EVI_Rolling_Mean_2,Mean_EVI_Anomaly_vs_Prior_Mean,Mean_EVI_Change_From_Lag_1,Peak_EVI_Lag_1,Peak_EVI_Lag_2,Peak_EVI_Rolling_Mean_2,Peak_EVI_Anomaly_vs_Prior_Mean,Peak_EVI_Change_From_Lag_1,Mean_Soil_Moisture_Lag_1,Mean_Soil_Moisture_Lag_2,Mean_Soil_Moisture_Rolling_Mean_2,Mean_Soil_Moisture_Anomaly_vs_Prior_Mean,Mean_Soil_Moisture_Change_From_Lag_1
2016,2016 - 2017,1. Madhya Pradesh,Agar malwa,agarmalwa,3.62,3.8,50000.0,181000.0,6.367711306017183,0.403557314824494,0.5918839024228136,0.2342970408796068,0.3690917778145607,0.2476939252598512,True,3.8,,,3.8,3.8,,,6.523813197654501,,6.523813197654501,-0.15610189163731825,-0.15610189163731825,0.3631039515403818,,0.3631039515403818,0.0404533632841122,0.0404533632841122,0.5350433504697416,,0.5350433504697416,0.05684055195307203,0.05684055195307203,0.1984476862769697,,0.1984476862769697,0.03584935460263708,0.03584935460263708,0.3104243495117688,,0.3104243495117688,0.058667428302791924,0.058667428302791924,0.2564190193081985,,0.2564190193081985,-0.008725094048347287,-0.008725094048347287
2016,2016 - 2017,1. Madhya Pradesh,Alirajpur,alirajpur,2.73,3.95,22000.0,60000.0,1.0326288454451795,0.3749079266469255,0.5031047246463063,0.2166423890392767,0.2902979335261758,0.1910931218859041,True,3.95,,,3.95,3.95,,,2.8628938215469195,,2.8628938215469195,-1.83026497610174,-1.83026497610174,0.3513809063783759,,0.3513809063783759,0.023527020268549637,0.023527020268549637,0.4804345237224175,,0.4804345237224175,0.022670200923888773,0.022670200923888773,0.1998184274900404,,0.1998184274900404,0.01682396154923632,0.01682396154923632,0.277494318294529,,0.277494318294529,0.012803615231646803,0.012803615231646803,0.1876270014970637,,0.1876270014970637,0.0034661203888403935,0.0034661203888403935
2016,2016 - 2017,1. Madhya Pradesh,Anuppur,anuppur,1.96,1.77,27000.0,53000.0,44.93107214356198,0.3777087617063488,0.4981848956659686,0.2149448424614925,0.2875753137068307,0.1524283283451603,True,1.77,,,1.77,1.77,,,80.08883576337192,,80.08883576337192,-35.15776361980994,-35.15776361980994,0.3498456079824766,,0.3498456079824766,0.027863153723872214,0.027863153723872214,0.4894739056550334,,0.4894739056550334,0.008710990010935171,0.008710990010935171,0.1962834562667565,,0.1962834562667565,0.018661386194736007,0.018661386194736007,0.280506636432498,,0.280506636432498,0.007068677274332691,0.007068677274332691,0.1710650203899627,,0.1710650203899627,-0.018636692044802422,-0.018636692044802422
2016,2016 - 2017,1. Madhya Pradesh,Ashoknagar,ashoknagar,2.47,2.58,159000.0,393000.0,8.566634815538016,0.423289268876094,0.6280130771183973,0.2529619121149588,0.4163502757521869,0.2301956521521083,True,2.58,,,2.58,2.58,,,15.5280358061672,,15.5280358061672,-6.961400990629183,-6.961400990629183,0.3768397964601321,,0.3768397964601321,0.04644947241596192,0.04644947241596192,0.5934903258157052,,0.5934903258157052,0.03452275130269211,0.03452275130269211,0.215850480468929,,0.215850480468929,0.037111431646029786,0.037111431646029786,0.3645524992097537,,0.3645524992097537,0.05179777654243323,0.05179777654243323,0.2419809800664557,,0.2419809800664557,-0.011785327914347388,-0.011785327914347388
2016,2016 - 2017,1. Madhya Pradesh,Balaghat,balaghat,1.83,1.35,35000.0,64000.0,44.52255565338434,0.4897915172071257,0.6309559336093811,0.265971175107725,0.3537484425265914,0.2134213525702883,True,1.35,,,1.35,1.35,,,82.51973430126657,,82.51973430126657,-37.99717864788223,-37.99717864788223,0.4993124308968,,0.4993124308968,-0.009520913689674282,-0.009520913689674282,0.6605959265748752,,0.6605959265748752,-0.029639992965494133,-0.029639992965494133,0.2646684375564604,,0.2646684375564604,0.0013027375512645878,0.0013027375512645878,0.3722658009865339,,0.3722658009865339,-0.018517358459942512,-0.018517358459942512,0.2341535980538245,,0.2341535980538245,-0.020732245483536194,-0.020732245483536194
2016,2016 - 2017,1. Madhya Pradesh,Barwani,barwani,3.58,3.28,43000.0,154000.0,4.283639390771659,0.3287445281249916,0.4521735969934188,0.1859711517825903,0.2584320687337886,0.1727646457290861,True,3.28,,,3.28,3.28,,,9.969619619445632,,9.969619619445632,-5.685980228673974,-5.685980228673974,0.3246133885293171,,0.3246133885293171,0.004131139595674516,0.004131139595674516,0.4529486480376614,,0.4529486480376614,-0.0007750510442425806,-0.0007750510442425806,0.177720082305127,,0.177720082305127,0.008251069477463291,0.008251069477463291,0.2587364924735222,,0.2587364924735222,-0.0003044237397336058,-0.0003044237397336058,0.1747047457595591,,0.1747047457595591,-0.0019401000304730132,-0.0019401000304730132
2016,2016 - 2017,1. Madhya Pradesh,Betul,betul,2.65,2.47,128000.0,339000.0,32.72703678083632,0.4072292313749662,0.5719864778177911,0.2241758250432559,0.3250029437030946,0.1593314510219775,True,2.47,,,2.47,2.47,,,57.94991121737747,,57.94991121737747,-25.222874436541147,-25.222874436541147,0.3933634994710692,,0.3933634994710692,0.013865731903897005,0.013865731903897005,0.5692918006253309,,0.5692918006253309,0.002694677192460193,0.002694677192460193,0.2096809027125358,,0.2096809027125358,0.014494922330720084,0.014494922330720084,0.3103679497475816,,0.3103679497475816,0.014634993955513043,0.014634993955513043,0.1668088832452329,,0.1668088832452329,-0.00747743222325542,-0.00747743222325542
2016,2016 - 2017,1. Madhya Pradesh,Bhind,bhind,4.01,3.81,145000.0,582000.0,22.033062082717777,0.4655844074820151,0.6563493158253905,0.3117457301992657,0.4763365609823015,0.1492217984887126,True,3.81,,,3.81,3.81,,,28.117800553586488,,28.117800553586488,-6.084738470868711,-6.084738470868711,0.38126433819668,,0.38126433819668,0.08432006928533509,0.08432006928533509,0.5906303954210621,,0.5906303954210621,0.06571892040432836,0.06571892040432836,0.2479929697581402,,0.2479929697581402,0.06375276044112552,0.06375276044112552,0.4289139076940771,,0.4289139076940771,0.04742265328822437,0.04742265328822437,0.1495028819261712,,0.1495028819261712,-0.0002810834374586124,-0.0002810834374586124
2016,2016 - 2017,1. Madhya Pradesh,Bhopal,bhopal,3.46,3.0,87000.0,301000.0,7.426307280809711,0.4405514088013718,0.6503962397657796,0.2624372932778493,0.4302726880947457,0.2065166619130284,True,3.0,,,3.0,3.0,,,15.289044257760914,,15.289044257760914,-7.8627369769512025,-7.8627369769512025,0.40199221106798,,0.40199221106798,0.03855919773339178,0.03855919773339178,0.621261546133858,,0.621261546133858,0.02913469363192167,0.02913469363192167,0.2321812098096642,,0.2321812098096642,0.03025608346818512,0.03025608346818512,0.3914199503042018,,0.3914199503042018,0.038852737790543934,0.038852737790543934,0.2161885670545048,,0.2161885670545048,-0.009671905141476395,-0.009671905141476395
2016,2016 - 2017,1. Madhya Pradesh,Burhanpur,burhanpur,3.0,3.5,10000.0,30000.0,10.260420619248093,0.3887267627420887,0.5468487048523581,0.2141930356197123,0.3098368756857126,0.1757085239576768,True,3.5,,,3.5,3.5,,,28.16585572296268,,28.16585572296268,-17.905435103714588,-17.905435103714588,0.3684351652346201,,0.3684351652346201,0.020291597507468617,0.020291597507468617,0.5190867879315755,,0.5190867879315755,0.02776191692078267,0.02776191692078267,0.2069585757084118,,0.2069585757084118,0.007234459911300506,0.007234459911300506,0.2945413565442877,,0.2945413565442877,0.015295519141424907,0.015295519141424907,0.1731421987232425,,0.1731421987232425,0.0025663252344343135,0.0025663252344343135
